episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,comm_loss,env_steps,wall_sec
205,1000,490.0,2.837,38,,865,0,5,42,835,0.6152,885.4,,,0,205000,1565.7
206,1000,480.0,1.179,37,,918,0,5,41,1121,0.6428,984.7,,,0,206000,1573.6
207,1000,360.0,-13.15,28,,972,0,4,29,1215,0.6793,849.6,,,0,207000,1581.0
208,1000,400.0,-10.311,32,,999,0,4,31,1188,0.6038,1002.4,,,0,208000,1588.3
209,1000,230.0,-42.28,21,,997,0,2,22,2147,0.641,656.4,,,0,209000,1595.7
210,1000,340.0,-12.967,29,,942,0,3,32,1250,0.5803,706.9,,,0,210000,1603.6
211,1000,150.0,-0.673,19,,284,0,0,19,176,0.3792,666.5,,,0,211000,1610.4
212,1000,420.0,5.068,34,,996,0,4,36,781,0.5703,827.7,,,0,212000,1617.4
213,1000,320.0,-22.424,27,,447,0,3,31,1714,0.5505,870.0,,,0,213000,1624.7
214,1000,390.0,-6.914,31,,998,0,4,36,1210,0.5175,945.7,,,0,214000,1631.9
215,1000,490.0,5.082,38,,979,0,5,43,850,0.63,847.7,,,0,215000,1639.6
216,1000,440.0,7.771,36,,972,0,4,39,743,0.6175,863.1,,,0,216000,1646.6
217,1000,300.0,5.711,25,,995,0,3,28,277,0.4925,639.0,,,0,217000,1653.7
218,1000,460.0,10.631,35,,958,0,5,39,599,0.6198,851.9,,,0,218000,1660.7
219,1000,470.0,2.069,36,,931,0,5,37,864,0.6055,853.8,,,0,219000,1668.3
220,1000,530.0,10.393,39,,866,0,6,45,898,0.6192,920.0,,,0,220000,1675.6
221,1000,380.0,2.874,30,,750,0,4,33,731,0.6733,878.4,,,0,221000,1682.6
222,1000,310.0,-19.485,26,,990,0,3,29,1477,0.6597,902.6,,,0,222000,1689.8
223,1000,520.0,10.419,38,,964,0,6,42,838,0.605,818.9,,,0,223000,1696.9
224,1000,410.0,3.828,30,,946,0,5,34,565,0.4768,765.1,,,0,224000,1704.7
225,1000,440.0,6.399,33,,927,0,5,41,742,0.6092,828.7,,,0,225000,1711.8
226,1000,450.0,4.844,34,,847,0,5,41,938,0.5643,762.6,,,0,226000,1718.9
227,1000,420.0,0.581,34,,992,0,4,36,842,0.6302,848.0,,,0,227000,1726.1
228,1000,400.0,-5.666,32,,926,0,4,35,1048,0.5857,876.0,,,0,228000,1733.2
229,1000,500.0,8.33,39,,991,0,5,45,910,0.5883,873.0,,,0,229000,1740.9
230,1000,470.0,9.751,36,,836,0,5,39,640,0.59,798.4,,,0,230000,1748.0
231,1000,500.0,10.443,39,,939,0,5,42,724,0.6198,868.1,,,0,231000,1755.1
232,1000,190.0,2.725,20,,324,0,1,21,263,0.3345,628.1,,,0,232000,1762.2
233,1000,470.0,1.889,36,,985,0,5,36,917,0.5687,936.2,,,0,233000,1769.9
234,1000,420.0,-2.74,31,,959,0,5,35,1007,0.6165,827.2,,,0,234000,1777.0
235,1000,450.0,-1.89,34,,972,0,5,37,1099,0.5443,790.2,,,0,235000,1784.2
236,1000,460.0,8.841,35,,962,0,5,40,679,0.636,866.8,,,0,236000,1791.3
237,1000,470.0,15.004,33,,889,0,6,41,578,0.563,732.6,,,0,237000,1798.3
238,1000,440.0,-5.493,33,,963,0,5,39,1138,0.6158,949.7,,,0,238000,1806.1
239,1000,440.0,0.708,33,,888,0,5,38,926,0.6198,844.1,,,0,239000,1813.4
240,1000,500.0,14.192,36,,960,0,6,44,654,0.5557,790.8,,,0,240000,1820.5
241,1000,420.0,1.17,34,,961,0,4,37,1012,0.5745,808.3,,,0,241000,1827.7
242,1000,500.0,17.383,39,,989,0,5,43,487,0.6175,889.4,,,0,242000,1835.1
243,1000,510.0,20.253,37,,986,0,6,42,505,0.586,760.7,,,0,243000,1842.1
244,1000,410.0,8.587,33,,961,0,4,37,627,0.5965,802.3,,,0,244000,1849.1
245,1000,550.0,16.402,38,,903,0,7,49,699,0.6092,796.1,,,0,245000,1856.1
246,1000,440.0,9.296,36,,993,0,4,40,589,0.6432,907.6,,,0,246000,1863.1
247,1000,480.0,13.583,37,,980,0,5,42,788,0.604,850.3,,,0,247000,1870.7
248,1000,480.0,13.082,34,,995,0,6,41,765,0.607,781.4,,,0,248000,1877.9
249,1000,420.0,-5.214,34,,966,0,4,38,1109,0.6278,908.4,,,0,249000,1885.1
250,1000,390.0,6.564,31,,909,0,4,36,692,0.6132,706.5,,,0,250000,1892.2
251,1000,410.0,4.326,33,,919,0,4,37,696,0.6225,821.1,,,0,251000,1918.0
252,1000,450.0,13.894,34,,794,0,5,39,623,0.6252,851.8,,,0,252000,1925.2
253,1000,390.0,0.278,31,,971,0,4,35,881,0.6245,798.3,,,0,253000,1933.0
254,1000,470.0,7.767,36,,894,0,5,39,787,0.6258,762.4,,,0,254000,1940.2
255,1000,400.0,6.018,29,,686,0,5,35,602,0.6332,716.8,,,0,255000,1947.3
256,1000,490.0,15.102,35,,831,0,6,40,574,0.5853,735.9,,,0,256000,1954.3
257,1000,430.0,10.347,35,,825,0,4,40,612,0.652,896.2,,,0,257000,1961.4
258,1000,420.0,14.743,34,,945,0,4,39,437,0.6065,862.2,,,0,258000,1968.9
259,1000,480.0,13.546,34,,833,0,6,38,491,0.6305,809.6,,,0,259000,1975.9
260,1000,420.0,4.096,34,,996,0,4,36,775,0.6365,997.8,,,0,260000,1983.1
261,1000,450.0,6.149,34,,855,0,5,37,779,0.6172,812.1,,,0,261000,1990.3
262,1000,470.0,11.853,36,,886,0,5,44,822,0.6258,810.8,,,0,262000,1998.2
263,1000,440.0,3.986,33,,980,0,5,34,739,0.5695,823.3,,,0,263000,2005.9
264,1000,490.0,10.386,35,,867,0,6,40,632,0.5717,877.0,,,0,264000,2013.0
265,1000,400.0,7.135,32,,945,0,4,36,659,0.5913,710.9,,,0,265000,2020.7
266,1000,460.0,12.196,32,,996,0,6,39,594,0.5312,759.6,,,0,266000,2028.4
267,1000,500.0,16.163,36,,866,0,6,42,555,0.596,822.7,,,0,267000,2036.5
268,1000,450.0,4.925,37,,985,0,4,42,921,0.6095,786.1,,,0,268000,2043.8
269,1000,460.0,10.986,35,,991,0,5,41,682,0.559,818.7,,,0,269000,2050.9
270,1000,390.0,-1.546,31,,787,0,4,34,926,0.5867,767.8,,,0,270000,2058.1
271,1000,260.0,-13.704,24,,998,0,2,26,1092,0.5835,669.7,,,0,271000,2065.8
272,1000,450.0,11.482,34,,944,0,5,40,556,0.6035,871.7,,,0,272000,2073.1
273,1000,430.0,13.933,35,,1000,0,4,39,404,0.5925,803.8,,,0,273000,2080.1
274,1000,300.0,-20.107,25,,445,0,3,30,1577,0.6603,1073.5,,,0,274000,2087.5
275,1000,500.0,14.907,36,,915,0,6,44,529,0.6298,910.6,,,0,275000,2094.6
276,1000,450.0,9.984,37,,992,0,4,40,628,0.6222,786.9,,,0,276000,2102.2
277,1000,420.0,4.355,31,,995,0,5,37,803,0.5907,764.0,,,0,277000,2109.6
278,1000,500.0,17.615,39,,994,0,5,44,554,0.5897,856.5,,,0,278000,2116.9
279,1000,450.0,12.089,34,,973,0,5,39,568,0.5525,836.0,,,0,279000,2124.1
280,1000,420.0,4.302,34,,972,0,4,37,977,0.6118,821.7,,,0,280000,2132.0
281,1000,440.0,5.071,33,,982,0,5,39,950,0.55,892.4,,,0,281000,2139.3
282,1000,510.0,18.108,37,,990,0,6,46,601,0.5627,813.8,,,0,282000,2146.5
283,1000,390.0,5.552,31,,753,0,4,34,516,0.5355,784.7,,,0,283000,2153.5
