/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 6] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.0 도달권shaping=0.0 정체전환보상=0.0 엔트로피비=0.6->0.15 자기회귀=True 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:342: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 90 | 드론6 목적지21 |  276스텝 | 배송 21/21 | 재적재  0 | 중계율 0.26 | alpha 3.009 | complete
Ep 91 | 드론6 목적지77 |  740스텝 | 배송 77/77 | 재적재 14 | 중계율 0.17 | alpha 2.978 | complete
Ep 92 | 드론4 목적지69 | 1000스텝 | 배송 64/69 | 재적재 11 | 중계율 0.19 | alpha 2.910 | step_limit
Ep 93 | 드론6 목적지60 |  677스텝 | 배송 60/60 | 재적재  9 | 중계율 0.11 | alpha 2.880 | complete
Ep 94 | 드론6 목적지45 |  400스텝 | 배송 45/45 | 재적재  6 | 중계율 0.10 | alpha 2.861 | complete
Ep 95 | 드론4 목적지71 |  991스텝 | 배송 71/71 | 재적재 11 | 중계율 0.17 | alpha 2.817 | complete
Ep 96 | 드론3 목적지74 | 1000스텝 | 배송 60/74 | 재적재 10 | 중계율 0.18 | alpha 2.843 | step_limit
Ep 97 | 드론6 목적지47 |  683스텝 | 배송 47/47 | 재적재  6 | 중계율 0.14 | alpha 2.839 | complete
Ep 98 | 드론6 목적지50 |  710스텝 | 배송 50/50 | 재적재  7 | 중계율 0.20 | alpha 2.815 | complete
Ep 99 | 드론6 목적지35 |  452스텝 | 배송 35/35 | 재적재  4 | 중계율 0.18 | alpha 2.793 | complete
Ep 100 | 드론3 목적지40 | 1000스텝 | 배송 37/40 | 재적재  6 | 중계율 0.20 | alpha 2.760 | step_limit
  [홀드아웃] 배송 49.9±0.4 완주 0.96 스텝 1308 점수 101.9 재적재 8.4 2홉+ 0.65 | 최고 101.9@ep100 정체 0/15  ← 갱신
Ep 101 | 드론3 목적지23 |  443스텝 | 배송 23/23 | 재적재  3 | 중계율 0.13 | alpha 2.758 | complete
Ep 102 | 드론3 목적지21 |  435스텝 | 배송 21/21 | 재적재  3 | 중계율 0.24 | alpha 2.754 | complete
Ep 103 | 드론6 목적지72 |  469스텝 | 배송 72/72 | 재적재 11 | 중계율 0.14 | alpha 2.732 | complete
Ep 104 | 드론3 목적지27 |  746스텝 | 배송 27/27 | 재적재  4 | 중계율 0.31 | alpha 2.722 | complete
Ep 105 | 드론4 목적지63 |  788스텝 | 배송 63/63 | 재적재 12 | 중계율 0.14 | alpha 2.704 | complete
Ep 106 | 드론5 목적지58 |  471스텝 | 배송 58/58 | 재적재 10 | 중계율 0.13 | alpha 2.691 | complete
Ep 107 | 드론6 목적지75 | 1000스텝 | 배송 74/75 | 재적재 14 | 중계율 0.27 | alpha 2.673 | step_limit
Ep 108 | 드론4 목적지55 | 1000스텝 | 배송 51/55 | 재적재  9 | 중계율 0.21 | alpha 2.649 | step_limit
Ep 109 | 드론5 목적지64 |  740스텝 | 배송 64/64 | 재적재 11 | 중계율 0.18 | alpha 2.662 | complete
Ep 110 | 드론4 목적지55 |  853스텝 | 배송 55/55 | 재적재  9 | 중계율 0.14 | alpha 2.669 | complete
Ep 111 | 드론5 목적지67 |  767스텝 | 배송 67/67 | 재적재 11 | 중계율 0.21 | alpha 2.650 | complete
Ep 112 | 드론4 목적지46 |  582스텝 | 배송 46/46 | 재적재  8 | 중계율 0.19 | alpha 2.648 | complete
Ep 113 | 드론5 목적지43 |  424스텝 | 배송 43/43 | 재적재  6 | 중계율 0.12 | alpha 2.651 | complete
