/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 8] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:282: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 123 | 드론8 목적지30 |  253스텝 | 배송 30/30 | 재적재  3 | 중계율 0.02 | alpha 1.128 | complete
Ep 124 | 드론3 목적지80 | 1000스텝 | 배송 50/80 | 재적재  8 | 중계율 0.11 | alpha 1.081 | step_limit
Ep 125 | 드론8 목적지41 |  319스텝 | 배송 41/41 | 재적재  7 | 중계율 0.02 | alpha 1.069 | complete
Ep 126 | 드론5 목적지50 |  782스텝 | 배송 50/50 | 재적재  9 | 중계율 0.09 | alpha 1.055 | complete
Ep 127 | 드론5 목적지37 | 1000스텝 | 배송 35/37 | 재적재  6 | 중계율 0.08 | alpha 1.060 | step_limit
Ep 128 | 드론3 목적지42 | 1000스텝 | 배송 31/42 | 재적재  4 | 중계율 0.09 | alpha 1.082 | step_limit
Ep 129 | 드론7 목적지52 |  567스텝 | 배송 52/52 | 재적재  9 | 중계율 0.04 | alpha 1.111 | complete
Ep 130 | 드론3 목적지40 | 1000스텝 | 배송 32/40 | 재적재  4 | 중계율 0.15 | alpha 1.107 | step_limit
Ep 131 | 드론5 목적지39 |  534스텝 | 배송 39/39 | 재적재  6 | 중계율 0.02 | alpha 1.106 | complete
Ep 132 | 드론8 목적지63 |  535스텝 | 배송 63/63 | 재적재 11 | 중계율 0.01 | alpha 1.098 | complete
Ep 133 | 드론5 목적지61 |  808스텝 | 배송 61/61 | 재적재 10 | 중계율 0.08 | alpha 1.070 | complete
Ep 134 | 드론6 목적지22 |  294스텝 | 배송 22/22 | 재적재  1 | 중계율 0.00 | alpha 1.064 | complete
Ep 135 | 드론3 목적지20 | 1000스텝 | 배송 16/20 | 재적재  3 | 중계율 0.19 | alpha 1.036 | step_limit
Ep 136 | 드론8 목적지57 |  399스텝 | 배송 57/57 | 재적재  7 | 중계율 0.02 | alpha 1.032 | complete
Ep 137 | 드론4 목적지24 |  603스텝 | 배송 24/24 | 재적재  2 | 중계율 0.05 | alpha 1.016 | complete
