/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=1000 교착한도=1000000000 무배송한도=1000000000 (초반 300ep까지 1000000000) gamma=0.997 미완료페널티=0.0 도달보너스=매스텝 중계정박=0.02
worker_obs=16 manager_obs=49 state=66 상위행동=7
하위 가중치 로드: weights/v4_26_09_14_03_w/best_worker.pth
Ep 201 |  1000스텝 | 배송 23/50 | 재적재  3 | 정지 0.84 교착최장 721 | step_limit
Ep 202 |  1000스텝 | 배송 25/50 | 재적재  4 | 정지 0.84 교착최장 677 | step_limit
Ep 203 |  1000스텝 | 배송 28/50 | 재적재  4 | 정지 0.77 교착최장 239 | step_limit
Ep 204 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.81 교착최장 452 | step_limit
Ep 205 |  1000스텝 | 배송 28/50 | 재적재  4 | 정지 0.75 교착최장 239 | step_limit
Ep 206 |  1000스텝 | 배송 22/50 | 재적재  3 | 정지 0.85 교착최장 698 | step_limit
Ep 207 |  1000스텝 | 배송 27/50 | 재적재  3 | 정지 0.81 교착최장 374 | step_limit
Ep 208 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.71 교착최장 195 | step_limit
Ep 209 |  1000스텝 | 배송 30/50 | 재적재  4 | 정지 0.76 교착최장 314 | step_limit
Ep 210 |  1000스텝 | 배송 19/50 | 재적재  1 | 정지 0.87 교착최장 585 | step_limit
Ep 211 |  1000스텝 | 배송 29/50 | 재적재  3 | 정지 0.78 교착최장 346 | step_limit
Ep 212 |  1000스텝 | 배송 30/50 | 재적재  4 | 정지 0.76 교착최장 354 | step_limit
Ep 213 |  1000스텝 | 배송 23/50 | 재적재  3 | 정지 0.83 교착최장 794 | step_limit
