/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 6] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.0 도달권shaping=0.0 정체전환보상=0.0 엔트로피비=0.15->-1.0 자기회귀=True 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:342: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 103 | 드론6 목적지72 |  496스텝 | 배송 72/72 | 재적재 12 | 중계율 0.10 | alpha 0.004 | complete
Ep 104 | 드론3 목적지27 |  799스텝 | 배송 27/27 | 재적재  3 | 중계율 0.23 | alpha 0.003 | complete
Ep 105 | 드론4 목적지63 |  926스텝 | 배송 63/63 | 재적재 10 | 중계율 0.16 | alpha 0.003 | complete
Ep 106 | 드론5 목적지58 |  416스텝 | 배송 58/58 | 재적재  9 | 중계율 0.13 | alpha 0.003 | complete
Ep 107 | 드론6 목적지75 |  808스텝 | 배송 75/75 | 재적재 11 | 중계율 0.28 | alpha 0.003 | complete
Ep 108 | 드론4 목적지55 |  893스텝 | 배송 55/55 | 재적재  9 | 중계율 0.26 | alpha 0.003 | complete
Ep 109 | 드론5 목적지64 |  762스텝 | 배송 64/64 | 재적재 11 | 중계율 0.21 | alpha 0.003 | complete
Ep 110 | 드론4 목적지55 |  762스텝 | 배송 55/55 | 재적재  8 | 중계율 0.21 | alpha 0.002 | complete
Ep 111 | 드론5 목적지67 |  650스텝 | 배송 67/67 | 재적재 11 | 중계율 0.22 | alpha 0.002 | complete
Ep 112 | 드론4 목적지46 |  734스텝 | 배송 46/46 | 재적재  8 | 중계율 0.24 | alpha 0.002 | complete
Ep 113 | 드론5 목적지43 |  414스텝 | 배송 43/43 | 재적재  6 | 중계율 0.12 | alpha 0.002 | complete
Ep 114 | 드론3 목적지80 | 1000스텝 | 배송 66/80 | 재적재 12 | 중계율 0.26 | alpha 0.002 | step_limit
Ep 115 | 드론6 목적지78 |  616스텝 | 배송 78/78 | 재적재 14 | 중계율 0.10 | alpha 0.002 | complete
Ep 116 | 드론5 목적지72 |  650스텝 | 배송 72/72 | 재적재 12 | 중계율 0.14 | alpha 0.002 | complete
Ep 117 | 드론4 목적지54 |  775스텝 | 배송 54/54 | 재적재  9 | 중계율 0.17 | alpha 0.002 | complete
Ep 118 | 드론3 목적지63 | 1000스텝 | 배송 59/63 | 재적재  9 | 중계율 0.27 | alpha 0.002 | step_limit
Ep 119 | 드론6 목적지66 |  493스텝 | 배송 66/66 | 재적재 12 | 중계율 0.14 | alpha 0.002 | complete
Ep 120 | 드론5 목적지70 |  669스텝 | 배송 70/70 | 재적재 11 | 중계율 0.17 | alpha 0.001 | complete
Ep 121 | 드론5 목적지45 |  459스텝 | 배송 45/45 | 재적재  8 | 중계율 0.18 | alpha 0.001 | complete
Ep 122 | 드론5 목적지26 |  428스텝 | 배송 26/26 | 재적재  4 | 중계율 0.27 | alpha 0.001 | complete
Ep 123 | 드론6 목적지30 |  313스텝 | 배송 30/30 | 재적재  4 | 중계율 0.13 | alpha 0.001 | complete
Ep 124 | 드론3 목적지80 | 1000스텝 | 배송 64/80 | 재적재 12 | 중계율 0.24 | alpha 0.001 | step_limit
Ep 125 | 드론6 목적지41 |  336스텝 | 배송 41/41 | 재적재  5 | 중계율 0.11 | alpha 0.001 | complete
Ep 126 | 드론4 목적지50 |  905스텝 | 배송 50/50 | 재적재  7 | 중계율 0.32 | alpha 0.001 | complete
Ep 127 | 드론4 목적지37 |  565스텝 | 배송 37/37 | 재적재  6 | 중계율 0.24 | alpha 0.001 | complete
Ep 128 | 드론3 목적지42 |  827스텝 | 배송 42/42 | 재적재  7 | 중계율 0.24 | alpha 0.001 | complete
Ep 129 | 드론5 목적지52 |  465스텝 | 배송 52/52 | 재적재  9 | 중계율 0.13 | alpha 0.001 | complete
Ep 130 | 드론3 목적지40 |  958스텝 | 배송 40/40 | 재적재  7 | 중계율 0.32 | alpha 0.001 | complete
Ep 131 | 드론4 목적지39 |  433스텝 | 배송 39/39 | 재적재  6 | 중계율 0.11 | alpha 0.001 | complete
Ep 132 | 드론6 목적지63 |  399스텝 | 배송 63/63 | 재적재 11 | 중계율 0.08 | alpha 0.001 | complete
Ep 133 | 드론4 목적지61 |  706스텝 | 배송 61/61 | 재적재 10 | 중계율 0.14 | alpha 0.001 | complete
Ep 134 | 드론5 목적지22 |  249스텝 | 배송 22/22 | 재적재  1 | 중계율 0.08 | alpha 0.001 | complete
