/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=1000 교착한도=1000000000 무배송한도=1000000000 (초반 300ep까지 1000000000) gamma=0.997 미완료페널티=0.0 도달보너스=매스텝 중계정박=0.05
worker_obs=16 manager_obs=49 state=66 상위행동=7
하위 가중치 로드: weights/v4_26_09_14_03_w/best_worker.pth
Ep 132 |  1000스텝 | 배송 24/50 | 재적재  3 | 정지 0.15 교착최장  10 | step_limit
Ep 133 |  1000스텝 | 배송 31/50 | 재적재  3 | 정지 0.30 교착최장  59 | step_limit
Ep 134 |  1000스텝 | 배송 27/50 | 재적재  3 | 정지 0.22 교착최장  21 | step_limit
Ep 135 |  1000스텝 | 배송 32/50 | 재적재  4 | 정지 0.23 교착최장  44 | step_limit
Ep 136 |  1000스텝 | 배송 28/50 | 재적재  3 | 정지 0.18 교착최장  13 | step_limit
Ep 137 |  1000스텝 | 배송 28/50 | 재적재  4 | 정지 0.12 교착최장   9 | step_limit
Ep 138 |  1000스텝 | 배송 29/50 | 재적재  4 | 정지 0.40 교착최장  37 | step_limit
Ep 139 |  1000스텝 | 배송 29/50 | 재적재  5 | 정지 0.18 교착최장  12 | step_limit
Ep 140 |  1000스텝 | 배송 33/50 | 재적재  5 | 정지 0.20 교착최장  19 | step_limit
Ep 141 |  1000스텝 | 배송 26/50 | 재적재  3 | 정지 0.20 교착최장  17 | step_limit
Ep 142 |  1000스텝 | 배송 28/50 | 재적재  4 | 정지 0.23 교착최장  12 | step_limit
Ep 143 |  1000스텝 | 배송 24/50 | 재적재  3 | 정지 0.17 교착최장  29 | step_limit
Ep 144 |  1000스텝 | 배송 23/50 | 재적재  3 | 정지 0.15 교착최장   8 | step_limit
Ep 145 |  1000스텝 | 배송 25/50 | 재적재  4 | 정지 0.18 교착최장  55 | step_limit
Ep 146 |  1000스텝 | 배송 26/50 | 재적재  4 | 정지 0.12 교착최장  29 | step_limit
Ep 147 |  1000스텝 | 배송 29/50 | 재적재  4 | 정지 0.24 교착최장  22 | step_limit
Ep 148 |  1000스텝 | 배송 25/50 | 재적재  4 | 정지 0.16 교착최장  18 | step_limit
Ep 149 |  1000스텝 | 배송  0/50 | 재적재  0 | 정지 0.00 교착최장   0 | step_limit
Ep 150 |  1000스텝 | 배송  0/50 | 재적재  0 | 정지 0.00 교착최장   0 | step_limit
  [홀드아웃] 배송 26.5±4.7 재적재 3.5 2홉+ 0.28 | 최고 39.8@ep50 정체 2/15
Ep 151 |  1000스텝 | 배송 30/50 | 재적재  5 | 정지 0.15 교착최장  14 | step_limit
Ep 152 |  1000스텝 | 배송 22/50 | 재적재  2 | 정지 0.15 교착최장  15 | step_limit
Ep 153 |  1000스텝 | 배송 24/50 | 재적재  3 | 정지 0.18 교착최장  10 | step_limit
Ep 154 |  1000스텝 | 배송 26/50 | 재적재  3 | 정지 0.21 교착최장  32 | step_limit
Ep 155 |  1000스텝 | 배송 28/50 | 재적재  3 | 정지 0.25 교착최장  17 | step_limit
Ep 156 |  1000스텝 | 배송 26/50 | 재적재  4 | 정지 0.29 교착최장  72 | step_limit
Ep 157 |  1000스텝 | 배송 29/50 | 재적재  4 | 정지 0.22 교착최장  13 | step_limit
Ep 158 |  1000스텝 | 배송 32/50 | 재적재  5 | 정지 0.21 교착최장  19 | step_limit
