/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1
worker_obs=16 manager_obs=40 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_08_31_19_w_nocl/best_worker.pth
Ep 179 | 배송 30/50 | 재적재 4 | 도착  17 | 2홉+ 0.61 | 도달  737 | 차단  366
Ep 180 | 배송 27/50 | 재적재 4 | 도착  12 | 2홉+ 0.58 | 도달  834 | 차단  386
Ep 181 | 배송 31/50 | 재적재 4 | 도착  17 | 2홉+ 0.53 | 도달  778 | 차단  364
Ep 182 | 배송 29/50 | 재적재 5 | 도착  16 | 2홉+ 0.63 | 도달  835 | 차단  578
Ep 183 | 배송 30/50 | 재적재 4 | 도착  20 | 2홉+ 0.62 | 도달 1014 | 차단  681
Ep 184 | 배송 21/50 | 재적재 2 | 도착  13 | 2홉+ 0.54 | 도달  630 | 차단  219
Ep 185 | 배송 27/50 | 재적재 4 | 도착  13 | 2홉+ 0.64 | 도달 1002 | 차단  758
Ep 186 | 배송 28/50 | 재적재 4 | 도착  18 | 2홉+ 0.59 | 도달  745 | 차단  340
Ep 187 | 배송 29/50 | 재적재 3 | 도착  12 | 2홉+ 0.64 | 도달  891 | 차단  484
Ep 188 | 배송 27/50 | 재적재 3 | 도착  16 | 2홉+ 0.63 | 도달  769 | 차단  659
Ep 189 | 배송 29/50 | 재적재 4 | 도착  13 | 2홉+ 0.63 | 도달  825 | 차단  993
Ep 190 | 배송 29/50 | 재적재 4 | 도착  19 | 2홉+ 0.59 | 도달  839 | 차단  420
Ep 191 | 배송 27/50 | 재적재 4 | 도착  15 | 2홉+ 0.61 | 도달  730 | 차단  588
Ep 192 | 배송 26/50 | 재적재 3 | 도착  14 | 2홉+ 0.67 | 도달 1012 | 차단 1463
Ep 193 | 배송 28/50 | 재적재 4 | 도착  14 | 2홉+ 0.57 | 도달  905 | 차단  495
Ep 194 | 배송 30/50 | 재적재 5 | 도착  14 | 2홉+ 0.62 | 도달  875 | 차단  550
Ep 195 | 배송 27/50 | 재적재 3 | 도착   9 | 2홉+ 0.64 | 도달  744 | 차단  381
Ep 196 | 배송 25/50 | 재적재 2 | 도착  19 | 2홉+ 0.65 | 도달  734 | 차단  345
Ep 197 | 배송 28/50 | 재적재 3 | 도착   9 | 2홉+ 0.64 | 도달  827 | 차단  445
Ep 198 | 배송 32/50 | 재적재 4 | 도착  19 | 2홉+ 0.56 | 도달  866 | 차단  473
Ep 199 | 배송 32/50 | 재적재 5 | 도착  12 | 2홉+ 0.57 | 도달  747 | 차단  493
Ep 200 | 배송 28/50 | 재적재 3 | 도착  17 | 2홉+ 0.57 | 도달  721 | 차단  312
  [홀드아웃] 배송 27.1±4.8 재적재 3.2 2홉+ 0.57 | 최고 29.4@ep100 정체 2/15
Ep 201 | 배송 29/50 | 재적재 5 | 도착  17 | 2홉+ 0.63 | 도달  703 | 차단  372
Ep 202 | 배송 27/50 | 재적재 3 | 도착  20 | 2홉+ 0.62 | 도달  780 | 차단  882
Ep 203 | 배송 29/50 | 재적재 4 | 도착  17 | 2홉+ 0.61 | 도달  875 | 차단  392
Ep 204 | 배송 30/50 | 재적재 4 | 도착  17 | 2홉+ 0.59 | 도달  862 | 차단  358
Ep 205 | 배송 31/50 | 재적재 4 | 도착  16 | 2홉+ 0.62 | 도달  808 | 차단  633
Ep 206 | 배송 26/50 | 재적재 4 | 도착  17 | 2홉+ 0.62 | 도달 1009 | 차단  444
Ep 207 | 배송 27/50 | 재적재 4 | 도착  17 | 2홉+ 0.56 | 도달  878 | 차단  414
Ep 208 | 배송 29/50 | 재적재 5 | 도착  20 | 2홉+ 0.62 | 도달  780 | 차단  349
Ep 209 | 배송 24/50 | 재적재 3 | 도착  14 | 2홉+ 0.65 | 도달  781 | 차단  486
Ep 210 | 배송 27/50 | 재적재 3 | 도착  17 | 2홉+ 0.60 | 도달  792 | 차단  506
