/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_04_15_w/best_worker.pth
Ep 150 | 배송 31/50 | 재적재 3 | 도착  12 | 2홉+ 0.64 | 도달  830 | 차단  356 | 정지 0.01 최장   3
  [홀드아웃] 배송 28.5±4.7 재적재 3.3 2홉+ 0.61 | 최고 30.6@ep50 정체 2/15
Ep 151 | 배송 31/50 | 재적재 4 | 도착  22 | 2홉+ 0.65 | 도달  919 | 차단  565 | 정지 0.02 최장   4
Ep 152 | 배송 30/50 | 재적재 5 | 도착  19 | 2홉+ 0.65 | 도달  816 | 차단  711 | 정지 0.50 최장   4
Ep 153 | 배송 30/50 | 재적재 4 | 도착  18 | 2홉+ 0.62 | 도달  761 | 차단  351 | 정지 0.05 최장   1
Ep 154 | 배송 29/50 | 재적재 3 | 도착  18 | 2홉+ 0.63 | 도달  861 | 차단  569 | 정지 0.30 최장   2
Ep 155 | 배송 23/50 | 재적재 2 | 도착  14 | 2홉+ 0.66 | 도달  748 | 차단  499 | 정지 0.02 최장   2
Ep 156 | 배송 27/50 | 재적재 4 | 도착  24 | 2홉+ 0.60 | 도달  781 | 차단  283 | 정지 0.39 최장   3
Ep 157 | 배송 30/50 | 재적재 3 | 도착  22 | 2홉+ 0.60 | 도달  825 | 차단  541 | 정지 0.19 최장   3
Ep 158 | 배송 26/50 | 재적재 4 | 도착  17 | 2홉+ 0.59 | 도달  790 | 차단  610 | 정지 0.12 최장   3
Ep 159 | 배송 31/50 | 재적재 3 | 도착  21 | 2홉+ 0.64 | 도달  853 | 차단  454 | 정지 0.34 최장   4
Ep 160 | 배송 37/50 | 재적재 5 | 도착  30 | 2홉+ 0.59 | 도달  882 | 차단  443 | 정지 0.17 최장   3
Ep 161 | 배송 28/50 | 재적재 2 | 도착  13 | 2홉+ 0.66 | 도달  782 | 차단  401 | 정지 0.04 최장   1
Ep 162 | 배송 28/50 | 재적재 3 | 도착  18 | 2홉+ 0.65 | 도달  953 | 차단  701 | 정지 0.15 최장   4
Ep 163 | 배송 26/50 | 재적재 3 | 도착  14 | 2홉+ 0.58 | 도달  733 | 차단  833 | 정지 0.01 최장   2
Ep 164 | 배송 27/50 | 재적재 3 | 도착  22 | 2홉+ 0.66 | 도달  762 | 차단  598 | 정지 0.29 최장   3
Ep 165 | 배송 33/50 | 재적재 4 | 도착  22 | 2홉+ 0.62 | 도달  818 | 차단  296 | 정지 0.08 최장   3
Ep 166 | 배송 32/50 | 재적재 4 | 도착  17 | 2홉+ 0.61 | 도달  908 | 차단  455 | 정지 0.06 최장   4
Ep 167 | 배송 25/50 | 재적재 3 | 도착  13 | 2홉+ 0.59 | 도달  901 | 차단  471 | 정지 0.17 최장   3
Ep 168 | 배송 30/50 | 재적재 4 | 도착  23 | 2홉+ 0.63 | 도달  865 | 차단  375 | 정지 0.09 최장   5
Ep 169 | 배송 31/50 | 재적재 3 | 도착  17 | 2홉+ 0.64 | 도달  911 | 차단  582 | 정지 0.19 최장   4
