episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,comm_loss,env_steps,wall_sec
234,1000,360.0,12.657,31,,967,0,3,22,441,0.6002,863.8,,,0,234000,3179.4
235,1000,430.0,12.261,32,,893,0,5,17,367,0.627,791.7,,,0,235000,3194.6
236,1000,390.0,2.665,31,,955,0,4,17,623,0.6318,869.3,,,0,236000,3212.2
237,1000,290.0,-9.037,27,,761,0,2,15,1033,0.6715,827.2,,,0,237000,3228.0
238,1000,380.0,13.723,30,,921,0,4,34,359,0.6282,816.1,,,0,238000,3244.3
239,1000,390.0,4.441,31,,997,0,4,18,490,0.6042,756.7,,,0,239000,3259.1
240,1000,410.0,5.246,33,,917,0,4,25,646,0.661,802.9,,,0,240000,3275.8
241,1000,310.0,7.181,26,,912,0,3,23,444,0.6208,814.7,,,0,241000,3290.8
242,1000,380.0,7.307,30,,942,0,4,27,520,0.636,909.9,,,0,242000,3308.9
243,1000,350.0,-5.174,30,,973,0,3,18,690,0.6302,781.2,,,0,243000,3324.7
244,1000,320.0,-1.364,27,,901,0,3,21,640,0.6488,876.3,,,0,244000,3342.6
245,1000,300.0,5.371,25,,877,0,3,20,381,0.6448,736.8,,,0,245000,3357.8
246,1000,380.0,10.307,30,,957,0,4,26,396,0.6408,836.4,,,0,246000,3374.0
247,1000,410.0,9.999,30,,775,0,5,27,399,0.6042,953.7,,,0,247000,3389.7
248,1000,390.0,11.109,31,,997,0,4,28,519,0.5603,753.1,,,0,248000,3406.1
249,1000,420.0,8.7,34,,918,0,4,30,580,0.6545,881.3,,,0,249000,3421.6
250,1000,410.0,12.353,33,,993,0,4,33,634,0.624,874.3,,,0,250000,3436.4
251,1000,450.0,12.829,34,,907,0,5,29,503,0.6058,954.8,,,0,251000,3489.0
252,1000,260.0,-0.137,24,,826,0,2,19,471,0.6415,770.0,,,0,252000,3504.3
253,1000,470.0,5.815,36,,976,0,5,26,659,0.6462,868.8,,,0,253000,3520.6
254,1000,340.0,-2.901,29,,994,0,3,21,816,0.6587,1024.5,,,0,254000,3535.4
255,1000,280.0,5.24,23,,975,0,3,22,477,0.6058,687.1,,,0,255000,3552.2
256,1000,370.0,4.115,29,,857,0,4,27,610,0.6422,867.2,,,0,256000,3567.5
257,1000,320.0,11.263,27,,924,0,3,19,393,0.614,718.7,,,0,257000,3583.6
258,1000,390.0,-8.752,31,,995,0,4,15,846,0.6285,982.7,,,0,258000,3599.9
259,1000,310.0,-6.0,26,,935,0,3,21,835,0.6292,734.4,,,0,259000,3617.2
260,1000,430.0,11.989,32,,994,0,5,23,283,0.6355,837.6,,,0,260000,3633.3
261,1000,380.0,-2.388,30,,928,0,4,20,681,0.638,825.9,,,0,261000,3651.5
262,1000,420.0,17.585,31,,956,0,5,23,318,0.6065,852.1,,,0,262000,3667.8
263,1000,340.0,2.486,29,,956,0,3,21,626,0.6352,843.2,,,0,263000,3684.1
264,1000,360.0,9.074,28,,940,0,4,24,426,0.629,743.7,,,0,264000,3699.3
265,1000,390.0,10.614,28,,735,0,5,24,378,0.571,715.0,,,0,265000,3715.8
266,1000,400.0,4.152,32,,925,0,4,17,415,0.6308,798.9,,,0,266000,3731.4
267,1000,400.0,6.414,29,,960,0,5,22,606,0.5727,800.5,,,0,267000,3747.4
268,1000,340.0,2.984,29,,1000,0,3,16,494,0.6763,847.6,,,0,268000,3762.1
269,1000,400.0,11.093,29,,961,0,5,12,472,0.6195,957.3,,,0,269000,3777.9
270,1000,340.0,-4.24,29,,934,0,3,15,721,0.6265,825.9,,,0,270000,3794.1
271,1000,330.0,12.869,28,,940,0,3,20,279,0.6465,785.2,,,0,271000,3812.1
272,1000,450.0,12.042,34,,756,0,5,16,379,0.6322,910.1,,,0,272000,3827.5
273,1000,400.0,10.095,32,,865,0,4,18,476,0.6098,832.8,,,0,273000,3844.0
274,1000,390.0,9.257,31,,800,0,4,21,538,0.619,842.8,,,0,274000,3858.8
275,1000,330.0,9.842,28,,928,0,3,15,334,0.6215,825.1,,,0,275000,3874.2
276,1000,330.0,-2.084,28,,996,0,3,17,730,0.5938,882.5,,,0,276000,3890.9
277,1000,360.0,5.644,28,,972,0,4,16,412,0.6055,901.5,,,0,277000,3906.1
278,1000,370.0,-2.039,29,,926,0,4,15,696,0.6268,832.3,,,0,278000,3922.1
279,1000,440.0,12.496,33,,969,0,5,18,493,0.6172,811.6,,,0,279000,3936.5
280,1000,400.0,13.816,32,,972,0,4,28,387,0.6162,804.4,,,0,280000,3952.6
281,1000,400.0,8.738,29,,968,0,5,11,433,0.6062,783.3,,,0,281000,3968.3
282,1000,400.0,6.436,32,,982,0,4,15,423,0.639,791.1,,,0,282000,3984.0
283,1000,430.0,10.996,32,,925,0,5,16,395,0.6188,891.7,,,0,283000,3997.7
284,1000,320.0,2.869,27,,998,0,3,13,470,0.6362,762.9,,,0,284000,4013.4
285,1000,400.0,1.006,32,,925,0,4,13,664,0.5982,784.1,,,0,285000,4027.5
286,1000,350.0,-2.567,27,,970,0,4,13,660,0.636,838.7,,,0,286000,4042.0
287,1000,320.0,-5.068,27,,966,0,3,20,737,0.6152,769.0,,,0,287000,4058.1
