/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_c300s_angle
설정: relay_w=0.0 alpha_min=0.0 relay_credit=False n_peers=2 comm_range=300.0 action_mode=angle projection=scale
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 134 | Step 1000 | R   140.38 | 배송 17/50 | 미활동 0 | 2홉+ 0.70 | 도달  749 | 차단 1380
Ep 135 | Step 1000 | R    22.06 | 배송  8/50 | 미활동 1 | 2홉+ 0.71 | 도달  842 | 차단 2511
Ep 136 | Step 1000 | R    25.96 | 배송  7/50 | 미활동 0 | 2홉+ 0.72 | 도달  704 | 차단 2698
Ep 137 | Step 1000 | R   143.17 | 배송 17/50 | 미활동 0 | 2홉+ 0.71 | 도달  715 | 차단  724
Ep 138 | Step 1000 | R   157.59 | 배송 18/50 | 미활동 0 | 2홉+ 0.71 | 도달  653 | 차단  751
Ep 139 | Step 1000 | R   137.97 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달  880 | 차단 1115
Ep 140 | Step 1000 | R   135.31 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달  841 | 차단 1447
Ep 141 | Step 1000 | R   144.46 | 배송 18/50 | 미활동 0 | 2홉+ 0.66 | 도달  777 | 차단 1384
Ep 142 | Step 1000 | R   107.80 | 배송 14/50 | 미활동 0 | 2홉+ 0.67 | 도달  699 | 차단 1103
Ep 143 | Step 1000 | R   152.12 | 배송 18/50 | 미활동 0 | 2홉+ 0.59 | 도달  844 | 차단 1100
Ep 144 | Step 1000 | R    74.63 | 배송 11/50 | 미활동 0 | 2홉+ 0.72 | 도달  953 | 차단 1969
Ep 145 | Step 1000 | R   140.91 | 배송 17/50 | 미활동 0 | 2홉+ 0.58 | 도달  579 | 차단  962
Ep 146 | Step 1000 | R   143.56 | 배송 17/50 | 미활동 0 | 2홉+ 0.71 | 도달  662 | 차단 1073
Ep 147 | Step 1000 | R   169.32 | 배송 19/50 | 미활동 0 | 2홉+ 0.67 | 도달  642 | 차단  787
Ep 148 | Step 1000 | R   166.05 | 배송 19/50 | 미활동 0 | 2홉+ 0.67 | 도달  653 | 차단 1193
Ep 149 | Step 1000 | R   142.37 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달  899 | 차단 1058
Ep 150 | Step 1000 | R   179.67 | 배송 20/50 | 미활동 0 | 2홉+ 0.70 | 도달  843 | 차단  644
  [홀드아웃] 배송 8.2±2.0 미활동 0.50 2홉+ 0.60 도달 653 | 최고 8.2@ep150 | 정체 0/15  ← 최고 갱신
Ep 151 | Step 1000 | R   161.68 | 배송 18/50 | 미활동 0 | 2홉+ 0.71 | 도달  882 | 차단 1220
Ep 152 | Step 1000 | R   162.96 | 배송 19/50 | 미활동 0 | 2홉+ 0.70 | 도달  702 | 차단 1095
Ep 153 | Step 1000 | R   179.10 | 배송 20/50 | 미활동 0 | 2홉+ 0.72 | 도달  735 | 차단  664
Ep 154 | Step 1000 | R    86.47 | 배송 12/50 | 미활동 0 | 2홉+ 0.72 | 도달  802 | 차단 1726
Ep 155 | Step 1000 | R   152.95 | 배송 18/50 | 미활동 0 | 2홉+ 0.71 | 도달  921 | 차단 1014
Ep 156 | Step 1000 | R   134.67 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달  881 | 차단 1328
Ep 157 | Step 1000 | R   125.21 | 배송 16/50 | 미활동 0 | 2홉+ 0.70 | 도달  794 | 차단 1632
Ep 158 | Step 1000 | R   153.27 | 배송 18/50 | 미활동 0 | 2홉+ 0.71 | 도달  714 | 차단  792
Ep 159 | Step 1000 | R   153.14 | 배송 17/50 | 미활동 0 | 2홉+ 0.70 | 도달  880 | 차단  849
Ep 160 | Step 1000 | R   129.28 | 배송 16/50 | 미활동 0 | 2홉+ 0.66 | 도달  731 | 차단 1197
Ep 161 | Step 1000 | R   122.71 | 배송 15/50 | 미활동 0 | 2홉+ 0.72 | 도달 1011 | 차단 1320
Ep 162 | Step 1000 | R   121.82 | 배송 15/50 | 미활동 0 | 2홉+ 0.72 | 도달  804 | 차단 1094
Ep 163 | Step 1000 | R    80.24 | 배송 12/50 | 미활동 0 | 2홉+ 0.71 | 도달  908 | 차단 1562
Ep 164 | Step 1000 | R   101.13 | 배송 12/50 | 미활동 0 | 2홉+ 0.71 | 도달  902 | 차단  645
Ep 165 | Step 1000 | R   132.47 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달  935 | 차단 1900
Ep 166 | Step 1000 | R   173.19 | 배송 19/50 | 미활동 0 | 2홉+ 0.71 | 도달  856 | 차단  596
Ep 167 | Step 1000 | R   128.39 | 배송 15/50 | 미활동 0 | 2홉+ 0.61 | 도달  835 | 차단  532
Ep 168 | Step 1000 | R   148.35 | 배송 17/50 | 미활동 0 | 2홉+ 0.61 | 도달  801 | 차단  740
Ep 169 | Step 1000 | R   111.64 | 배송 14/50 | 미활동 0 | 2홉+ 0.72 | 도달  777 | 차단  444
Ep 170 | Step 1000 | R   144.25 | 배송 18/50 | 미활동 0 | 2홉+ 0.72 | 도달  971 | 차단 1088
Ep 171 | Step 1000 | R   108.64 | 배송 15/50 | 미활동 0 | 2홉+ 0.71 | 도달  842 | 차단 1205
Ep 172 | Step 1000 | R   150.05 | 배송 19/50 | 미활동 0 | 2홉+ 0.69 | 도달  874 | 차단 1208
