/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=10000 교착한도=100 무배송한도=2000 (초반 300ep까지 2000) gamma=0.99 미완료페널티=0.0
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_07_17_w/best_worker.pth
Ep 153 |  2899스텝 | 배송 18/50 | 재적재  0 | 정지 0.10 교착최장   4 | no_progress
Ep 154 |  6342스텝 | 배송 45/50 | 재적재  8 | 정지 0.08 교착최장   8 | no_progress
Ep 155 |  7412스텝 | 배송 44/50 | 재적재  8 | 정지 0.16 교착최장  15 | no_progress
Ep 156 |  9683스텝 | 배송 45/50 | 재적재  7 | 정지 0.14 교착최장  15 | no_progress
Ep 157 |  9191스텝 | 배송 47/50 | 재적재  8 | 정지 0.18 교착최장  77 | no_progress
Ep 158 |  6874스텝 | 배송 44/50 | 재적재  8 | 정지 0.12 교착최장   7 | no_progress
Ep 159 |  6380스텝 | 배송 45/50 | 재적재  8 | 정지 0.19 교착최장  37 | no_progress
Ep 160 |  6278스텝 | 배송 44/50 | 재적재  7 | 정지 0.28 교착최장  68 | no_progress
Ep 161 |  5227스텝 | 배송 43/50 | 재적재  6 | 정지 0.20 교착최장  24 | no_progress
Ep 162 |  6430스텝 | 배송 39/50 | 재적재  7 | 정지 0.20 교착최장  17 | no_progress
Ep 163 |  6709스텝 | 배송 43/50 | 재적재  7 | 정지 0.13 교착최장  16 | no_progress
Ep 164 |  7906스텝 | 배송 45/50 | 재적재  8 | 정지 0.11 교착최장  11 | no_progress
Ep 165 |  5923스텝 | 배송 46/50 | 재적재  7 | 정지 0.12 교착최장   8 | no_progress
Ep 166 |  9142스텝 | 배송 46/50 | 재적재  8 | 정지 0.12 교착최장  17 | no_progress
Ep 167 |  6911스텝 | 배송 43/50 | 재적재  6 | 정지 0.12 교착최장  19 | no_progress
Ep 168 |  8983스텝 | 배송 47/50 | 재적재  8 | 정지 0.19 교착최장 100 | deadlock
Ep 169 |  5804스텝 | 배송 44/50 | 재적재  8 | 정지 0.15 교착최장 100 | deadlock
Ep 170 |  9026스텝 | 배송 45/50 | 재적재  8 | 정지 0.12 교착최장  13 | no_progress
Ep 171 |  7189스텝 | 배송 46/50 | 재적재  8 | 정지 0.14 교착최장  33 | no_progress
Ep 172 |  7198스텝 | 배송 42/50 | 재적재  6 | 정지 0.13 교착최장  15 | no_progress
Ep 173 |  5983스텝 | 배송 45/50 | 재적재  8 | 정지 0.08 교착최장  11 | no_progress
Ep 174 |  6140스텝 | 배송 42/50 | 재적재  6 | 정지 0.15 교착최장  16 | no_progress
Ep 175 |  4065스텝 | 배송 37/50 | 재적재  6 | 정지 0.12 교착최장  11 | no_progress
Ep 176 |  6800스텝 | 배송 44/50 | 재적재  7 | 정지 0.21 교착최장  21 | no_progress
Ep 177 |  6184스텝 | 배송 47/50 | 재적재  8 | 정지 0.15 교착최장 100 | deadlock
Ep 178 | 10000스텝 | 배송 44/50 | 재적재  7 | 정지 0.22 교착최장  94 | step_limit
Ep 179 |  5467스텝 | 배송 44/50 | 재적재  8 | 정지 0.12 교착최장   9 | no_progress
Ep 180 |  7379스텝 | 배송 46/50 | 재적재  7 | 정지 0.17 교착최장  46 | no_progress
Ep 181 |  2794스텝 | 배송 17/50 | 재적재  0 | 정지 0.09 교착최장   4 | no_progress
Ep 182 |  4889스텝 | 배송 43/50 | 재적재  6 | 정지 0.17 교착최장 100 | deadlock
Ep 183 | 10000스텝 | 배송 45/50 | 재적재  8 | 정지 0.15 교착최장  45 | step_limit
Ep 184 |  6479스텝 | 배송 47/50 | 재적재  8 | 정지 0.14 교착최장  23 | no_progress
Ep 185 |  6941스텝 | 배송 39/50 | 재적재  5 | 정지 0.17 교착최장  24 | no_progress
Ep 186 |  4554스텝 | 배송 39/50 | 재적재  7 | 정지 0.10 교착최장   8 | no_progress
Ep 187 |  8025스텝 | 배송 44/50 | 재적재  8 | 정지 0.16 교착최장  18 | no_progress
Ep 188 |  5970스텝 | 배송 41/50 | 재적재  7 | 정지 0.15 교착최장  29 | no_progress
Ep 189 | 10000스텝 | 배송 47/50 | 재적재  8 | 정지 0.23 교착최장  22 | step_limit
Ep 190 |  5681스텝 | 배송 44/50 | 재적재  7 | 정지 0.24 교착최장  47 | no_progress
Ep 191 |  6781스텝 | 배송 40/50 | 재적재  6 | 정지 0.21 교착최장  26 | no_progress
Ep 192 |  8313스텝 | 배송 44/50 | 재적재  8 | 정지 0.17 교착최장  32 | no_progress
Ep 193 |  7506스텝 | 배송 45/50 | 재적재  8 | 정지 0.16 교착최장  15 | no_progress
Ep 194 |  5318스텝 | 배송 45/50 | 재적재  8 | 정지 0.11 교착최장  12 | no_progress
Ep 195 |  5245스텝 | 배송 43/50 | 재적재  7 | 정지 0.18 교착최장 100 | deadlock
Ep 196 |  8446스텝 | 배송 44/50 | 재적재  8 | 정지 0.16 교착최장  36 | no_progress
Ep 197 |  6357스텝 | 배송 43/50 | 재적재  6 | 정지 0.17 교착최장  30 | no_progress
Ep 198 |  5388스텝 | 배송 42/50 | 재적재  7 | 정지 0.15 교착최장  25 | no_progress
Ep 199 |  9620스텝 | 배송 44/50 | 재적재  7 | 정지 0.17 교착최장  60 | no_progress
Ep 200 | 10000스텝 | 배송 45/50 | 재적재  7 | 정지 0.19 교착최장  34 | step_limit
  [홀드아웃] 배송 19.0±9.8 재적재 2.0 2홉+ 0.26 | 최고 20.3@ep150 정체 1/15
Ep 201 |  3403스텝 | 배송 34/50 | 재적재  6 | 정지 0.18 교착최장   8 | no_progress
