/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda
obs_dim=19, state_dim=66, total_act_dim=8
Ep 155 | Step 1000 | R   143.17 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 이동차단  351 | 단절 0
Ep 156 | Step 1000 | R   115.37 | 배송 15/50 | 미활동드론 1 | 재적재 0 | 이동차단  584 | 단절 0
Ep 157 | Step 1000 | R   121.73 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 이동차단 1399 | 단절 0
Ep 158 | Step 1000 | R   177.09 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 이동차단  277 | 단절 0
Ep 159 | Step 1000 | R   165.87 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 이동차단  509 | 단절 0
Ep 160 | Step 1000 | R   152.54 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 이동차단  648 | 단절 0
Ep 161 | Step 1000 | R   128.63 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 이동차단 1295 | 단절 0
Ep 162 | Step 1000 | R   135.89 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 이동차단  492 | 단절 0
Ep 163 | Step 1000 | R   174.57 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 이동차단  122 | 단절 0
Ep 164 | Step 1000 | R   113.47 | 배송 15/50 | 미활동드론 0 | 재적재 0 | 이동차단  650 | 단절 0
Ep 165 | Step 1000 | R   105.82 | 배송 14/50 | 미활동드론 1 | 재적재 0 | 이동차단  603 | 단절 0
Ep 166 | Step 1000 | R   134.04 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 이동차단  167 | 단절 0
Ep 167 | Step 1000 | R   117.61 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 이동차단  156 | 단절 0
Ep 168 | Step 1000 | R   142.77 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 이동차단   82 | 단절 0
Ep 169 | Step 1000 | R   167.40 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 이동차단   84 | 단절 0
Ep 170 | Step 1000 | R   163.80 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 이동차단  336 | 단절 0
Ep 171 | Step 1000 | R   154.89 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 이동차단  327 | 단절 0
Ep 172 | Step 1000 | R   141.60 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 이동차단  119 | 단절 0
Ep 173 | Step 1000 | R   154.35 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 이동차단  276 | 단절 0
Ep 174 | Step 1000 | R   123.14 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 이동차단  804 | 단절 0
Ep 175 | Step 1000 | R   139.10 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 이동차단  551 | 단절 0
Ep 176 | Step 1000 | R   113.75 | 배송 15/50 | 미활동드론 0 | 재적재 0 | 이동차단  447 | 단절 0
Ep 177 | Step 1000 | R   193.87 | 배송 17/50 | 미활동드론 0 | 재적재 1 | 이동차단  143 | 단절 0
Ep 178 | Step 1000 | R   135.39 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 이동차단  290 | 단절 0
Ep 179 | Step 1000 | R   134.78 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 이동차단  297 | 단절 0
Ep 180 | Step 1000 | R   167.12 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 이동차단  132 | 단절 0
Ep 181 | Step 1000 | R   162.27 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 이동차단  377 | 단절 0
Ep 182 | Step 1000 | R   128.99 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 이동차단 1530 | 단절 0
Ep 183 | Step 1000 | R   156.71 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 이동차단  414 | 단절 0
Ep 184 | Step 1000 | R   174.31 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 이동차단    8 | 단절 0
Ep 185 | Step 1000 | R   149.46 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 이동차단  389 | 단절 0
Ep 186 | Step 1000 | R   136.16 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 이동차단  510 | 단절 0
Ep 187 | Step 1000 | R   133.30 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 이동차단  257 | 단절 0
Ep 188 | Step 1000 | R   127.15 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 이동차단  411 | 단절 0
Ep 189 | Step 1000 | R   150.82 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 이동차단  370 | 단절 0
Ep 190 | Step 1000 | R   148.88 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 이동차단  508 | 단절 0
Ep 191 | Step 1000 | R   144.82 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 이동차단  851 | 단절 0
Ep 192 | Step 1000 | R   174.86 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 이동차단  461 | 단절 0
