/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=고정 드론 4 목적지 50 인스턴스=무작위 목표유지=150
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:277: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 122 | 드론4 목적지50 | 1000스텝 | 배송 34/50 | 재적재  5 | 중계율 0.08 | step_limit
Ep 123 | 드론4 목적지50 | 1000스텝 | 배송 35/50 | 재적재  4 | 중계율 0.13 | step_limit
Ep 124 | 드론4 목적지50 | 1000스텝 | 배송 27/50 | 재적재  3 | 중계율 0.10 | step_limit
Ep 125 | 드론4 목적지50 | 1000스텝 | 배송 24/50 | 재적재  3 | 중계율 0.09 | step_limit
Ep 126 | 드론4 목적지50 | 1000스텝 | 배송 30/50 | 재적재  5 | 중계율 0.15 | step_limit
Ep 127 | 드론4 목적지50 | 1000스텝 | 배송 35/50 | 재적재  5 | 중계율 0.14 | step_limit
Ep 128 | 드론4 목적지50 | 1000스텝 | 배송 33/50 | 재적재  4 | 중계율 0.13 | step_limit
Ep 129 | 드론4 목적지50 | 1000스텝 | 배송 22/50 | 재적재  2 | 중계율 0.16 | step_limit
Ep 130 | 드론4 목적지50 | 1000스텝 | 배송 20/50 | 재적재  1 | 중계율 0.11 | step_limit
Ep 131 | 드론4 목적지50 | 1000스텝 | 배송 22/50 | 재적재  3 | 중계율 0.17 | step_limit
Ep 132 | 드론4 목적지50 | 1000스텝 | 배송 35/50 | 재적재  4 | 중계율 0.16 | step_limit
Ep 133 | 드론4 목적지50 | 1000스텝 | 배송 27/50 | 재적재  4 | 중계율 0.12 | step_limit
Ep 134 | 드론4 목적지50 | 1000스텝 | 배송 31/50 | 재적재  3 | 중계율 0.12 | step_limit
Ep 135 | 드론4 목적지50 | 1000스텝 | 배송 27/50 | 재적재  4 | 중계율 0.13 | step_limit
Ep 136 | 드론4 목적지50 | 1000스텝 | 배송 27/50 | 재적재  3 | 중계율 0.11 | step_limit
Ep 137 | 드론4 목적지50 | 1000스텝 | 배송 28/50 | 재적재  3 | 중계율 0.14 | step_limit
Ep 138 | 드론4 목적지50 | 1000스텝 | 배송 28/50 | 재적재  4 | 중계율 0.11 | step_limit
Ep 139 | 드론4 목적지50 | 1000스텝 | 배송 22/50 | 재적재  3 | 중계율 0.06 | step_limit
Ep 140 | 드론4 목적지50 | 1000스텝 | 배송 29/50 | 재적재  4 | 중계율 0.14 | step_limit
Ep 141 | 드론4 목적지50 | 1000스텝 | 배송 37/50 | 재적재  5 | 중계율 0.16 | step_limit
Ep 142 | 드론4 목적지50 | 1000스텝 | 배송 38/50 | 재적재  5 | 중계율 0.10 | step_limit
Ep 143 | 드론4 목적지50 | 1000스텝 | 배송 17/50 | 재적재  2 | 중계율 0.11 | step_limit
Ep 144 | 드론4 목적지50 |  606스텝 | 배송 11/50 | 재적재  0 | 중계율 0.16 | no_progress
Ep 145 | 드론4 목적지50 | 1000스텝 | 배송 38/50 | 재적재  6 | 중계율 0.09 | step_limit
Ep 146 | 드론4 목적지50 | 1000스텝 | 배송 22/50 | 재적재  2 | 중계율 0.14 | step_limit
Ep 147 | 드론4 목적지50 | 1000스텝 | 배송 35/50 | 재적재  5 | 중계율 0.16 | step_limit
Ep 148 | 드론4 목적지50 | 1000스텝 | 배송 30/50 | 재적재  3 | 중계율 0.16 | step_limit
Ep 149 | 드론4 목적지50 | 1000스텝 | 배송 30/50 | 재적재  4 | 중계율 0.14 | step_limit
Ep 150 | 드론4 목적지50 | 1000스텝 | 배송 25/50 | 재적재  4 | 중계율 0.15 | step_limit
  [홀드아웃] 배송 28.0±11.4 완주 0.00 재적재 3.7 2홉+ 0.65 | 최고 37.8@ep50 정체 2/15
Ep 151 | 드론4 목적지50 | 1000스텝 | 배송 38/50 | 재적재  4 | 중계율 0.14 | step_limit
Ep 152 | 드론4 목적지50 | 1000스텝 | 배송 23/50 | 재적재  3 | 중계율 0.15 | step_limit
Ep 153 | 드론4 목적지50 | 1000스텝 | 배송 25/50 | 재적재  4 | 중계율 0.10 | step_limit
Ep 154 | 드론4 목적지50 | 1000스텝 | 배송 35/50 | 재적재  5 | 중계율 0.14 | step_limit
